,date,portfolio_value,total_buy_cost,total_sell_value,net_flow,balance,asset_valuation
802,2023-03-31,450628.11,0.0,0.0,0.0,928820.3329999996,1379448.4429999995
803,2023-04-03,462354.57,0.0,0.0,0.0,928820.3329999996,1391174.9029999997
804,2023-04-05,465808.47,0.0,67647.477,67647.477,996467.8099999996,1462276.2799999996
805,2023-04-06,398603.96,0.0,106281.413,106281.413,1102749.2229999995,1501353.1829999995
806,2023-04-10,293831.35,0.0,0.0,0.0,1102749.2229999995,1396580.5729999994
807,2023-04-11,296090.48,0.0,0.0,0.0,1102749.2229999995,1398839.7029999995
808,2023-04-12,297050.99,0.0,0.0,0.0,1102749.2229999995,1399800.2129999995
809,2023-04-13,299690.78,0.0,0.0,0.0,1102749.2229999995,1402440.0029999996
810,2023-04-17,301163.02,0.0,0.0,0.0,1102749.2229999995,1403912.2429999996
811,2023-04-18,299563.44,0.0,0.0,0.0,1102749.2229999995,1402312.6629999995
812,2023-04-19,300165.83,0.0,0.0,0.0,1102749.2229999995,1402915.0529999996
813,2023-04-20,302926.36,0.0,0.0,0.0,1102749.2229999995,1405675.5829999996
814,2023-04-21,295926.7,0.0,33441.839,33441.839,1136191.0619999997,1432117.7619999996
815,2023-04-24,275459.1,0.0,0.0,0.0,1136191.0619999997,1411650.1619999995
816,2023-04-25,271395.22,0.0,0.0,0.0,1136191.0619999997,1407586.2819999997
817,2023-04-26,276230.97,0.0,0.0,0.0,1136191.0619999997,1412422.0319999997
818,2023-04-27,275561.95,0.0,0.0,0.0,1136191.0619999997,1411753.0119999996
819,2023-04-28,278782.03,0.0,0.0,0.0,1136191.0619999997,1414973.0919999997
820,2023-05-02,283286.91,0.0,0.0,0.0,1136191.0619999997,1419477.9719999996
821,2023-05-03,280701.74,0.0,0.0,0.0,1136191.0619999997,1416892.8019999997
822,2023-05-04,329454.76,42627.791,39870.85,-2756.940999999999,1133434.1209999996,1462888.8809999996
823,2023-05-05,282867.61,0.0,0.0,0.0,1133434.1209999996,1416301.7309999997
824,2023-05-08,281724.31,0.0,0.0,0.0,1133434.1209999996,1415158.4309999996
825,2023-05-09,279816.34,0.0,0.0,0.0,1133434.1209999996,1413250.4609999997
826,2023-05-10,389239.04,111630.147,0.0,-111630.147,1021803.9739999997,1411043.0139999997
827,2023-05-11,390822.23,0.0,0.0,0.0,1021803.9739999997,1412626.2039999997
828,2023-05-12,389368.55,0.0,29635.283,29635.283,1051439.2569999998,1440807.8069999998
829,2023-05-15,358752.38,0.0,30649.971,30649.971,1082089.2279999997,1440841.6079999995
830,2023-05-16,328496.0,0.0,0.0,0.0,1082089.2279999997,1410585.2279999997
831,2023-05-17,418731.56,90265.186,0.0,-90265.186,991824.0419999997,1410555.6019999997
832,2023-05-18,415558.14,0.0,0.0,0.0,991824.0419999997,1407382.1819999996
833,2023-05-19,423430.4,0.0,0.0,0.0,991824.0419999997,1415254.4419999998
834,2023-05-22,428217.72,0.0,0.0,0.0,991824.0419999997,1420041.7619999996
835,2023-05-23,430734.35,0.0,116909.639,116909.639,1108733.6809999996,1539468.0309999995
836,2023-05-24,315031.15,0.0,0.0,0.0,1108733.6809999996,1423764.8309999998
837,2023-05-25,316032.82,0.0,0.0,0.0,1108733.6809999996,1424766.5009999997
838,2023-05-26,317739.55,0.0,0.0,0.0,1108733.6809999996,1426473.2309999997
839,2023-05-29,319501.01,0.0,0.0,0.0,1108733.6809999996,1428234.6909999996
840,2023-05-30,451570.71,137003.854,0.0,-137003.854,971729.8269999996,1423300.5369999995
841,2023-05-31,448861.91,0.0,0.0,0.0,971729.8269999996,1420591.7369999995
842,2023-06-01,448777.33,0.0,123607.375,123607.375,1095337.2019999996,1544114.5319999997
843,2023-06-02,328890.89,0.0,0.0,0.0,1095337.2019999996,1424228.0919999997
844,2023-06-05,333191.87,0.0,0.0,0.0,1095337.2019999996,1428529.0719999997
845,2023-06-06,335664.09,0.0,0.0,0.0,1095337.2019999996,1431001.2919999997
846,2023-06-07,343962.64,0.0,0.0,0.0,1095337.2019999996,1439299.8419999997
847,2023-06-08,340941.53,0.0,0.0,0.0,1095337.2019999996,1436278.7319999996
848,2023-06-09,501963.89,161881.117,0.0,-161881.117,933456.0849999996,1435419.9749999996
849,2023-06-12,502110.75,0.0,0.0,0.0,933456.0849999996,1435566.8349999995
850,2023-06-13,501441.17,0.0,0.0,0.0,933456.0849999996,1434897.2549999997
851,2023-06-14,505699.73,0.0,0.0,0.0,933456.0849999996,1439155.8149999995
852,2023-06-15,502932.38,0.0,0.0,0.0,933456.0849999996,1436388.4649999996
853,2023-06-16,503061.24,0.0,0.0,0.0,933456.0849999996,1436517.3249999997
854,2023-06-19,499623.62,0.0,0.0,0.0,933456.0849999996,1433079.7049999996
855,2023-06-20,504747.28,0.0,0.0,0.0,933456.0849999996,1438203.3649999998
856,2023-06-21,505315.69,0.0,0.0,0.0,933456.0849999996,1438771.7749999997
857,2023-06-22,503538.17,0.0,0.0,0.0,933456.0849999996,1436994.2549999997
858,2023-06-23,495694.59,0.0,0.0,0.0,933456.0849999996,1429150.6749999996
859,2023-06-26,694603.03,196438.148,0.0,-196438.148,737017.9369999997,1431620.9669999997
860,2023-06-27,805412.57,107141.82,151309.479,44167.658999999985,781185.5959999997,1586598.1659999997
861,2023-06-28,702483.87,46105.801,0.0,-46105.801,735079.7949999997,1437563.6649999996
862,2023-06-30,710963.64,0.0,0.0,0.0,735079.7949999997,1446043.4349999996
863,2023-07-03,714069.46,0.0,0.0,0.0,735079.7949999997,1449149.2549999997
864,2023-07-04,711040.43,0.0,0.0,0.0,735079.7949999997,1446120.2249999996
865,2023-07-05,715833.3,0.0,0.0,0.0,735079.7949999997,1450913.0949999997
866,2023-07-06,719562.75,0.0,0.0,0.0,735079.7949999997,1454642.5449999997
867,2023-07-07,720920.32,0.0,149999.647,149999.647,885079.4419999997,1605999.7619999996
868,2023-07-10,566315.85,0.0,0.0,0.0,885079.4419999997,1451395.2919999997
869,2023-07-11,565905.13,0.0,0.0,0.0,885079.4419999997,1450984.5719999997
870,2023-07-12,564264.79,0.0,0.0,0.0,885079.4419999997,1449344.2319999998
871,2023-07-13,556323.4,0.0,0.0,0.0,885079.4419999997,1441402.8419999997
872,2023-07-14,726302.48,167586.351,0.0,-167586.351,717493.0909999997,1443795.5709999995
873,2023-07-17,737701.03,0.0,69314.808,69314.808,786807.8989999997,1524508.9289999998
874,2023-07-18,669792.03,0.0,0.0,0.0,786807.8989999997,1456599.9289999998
875,2023-07-19,669889.29,0.0,0.0,0.0,786807.8989999997,1456697.1889999998
876,2023-07-20,678516.65,0.0,0.0,0.0,786807.8989999997,1465324.5489999996
877,2023-07-21,693421.26,0.0,186364.119,186364.119,973172.0179999997,1666593.2779999997
878,2023-07-24,637908.52,133820.055,117258.006,-16562.049,956609.9689999997,1594518.4889999996
879,2023-07-25,572193.74,47771.574,0.0,-47771.574,908838.3949999997,1481032.1349999998
880,2023-07-26,575908.39,0.0,0.0,0.0,908838.3949999997,1484746.7849999997
881,2023-07-27,576226.18,0.0,0.0,0.0,908838.3949999997,1485064.5749999997
882,2023-07-28,578625.69,0.0,137425.269,137425.269,1046263.6639999996,1624889.3539999996
883,2023-07-31,443987.15,0.0,0.0,0.0,1046263.6639999996,1490250.8139999998
884,2023-08-01,447770.86,0.0,0.0,0.0,1046263.6639999996,1494034.5239999997
885,2023-08-02,440527.45,0.0,0.0,0.0,1046263.6639999996,1486791.1139999996
886,2023-08-03,448821.42,0.0,0.0,0.0,1046263.6639999996,1495085.0839999996
887,2023-08-04,452793.52,0.0,0.0,0.0,1046263.6639999996,1499057.1839999997
888,2023-08-07,521033.46,71600.406,0.0,-71600.406,974663.2579999997,1495696.7179999996
889,2023-08-08,616198.31,100503.517,0.0,-100503.517,874159.7409999997,1490358.0509999997
890,2023-08-09,633325.2,0.0,55518.876,55518.876,929678.6169999996,1563003.8169999996
891,2023-08-10,573259.8,0.0,99066.602,99066.602,1028745.2189999997,1602005.0189999999
892,2023-08-11,477056.34,0.0,0.0,0.0,1028745.2189999997,1505801.5589999997
893,2023-08-14,470114.61,0.0,0.0,0.0,1028745.2189999997,1498859.8289999997
894,2023-08-16,474965.53,0.0,0.0,0.0,1028745.2189999997,1503710.7489999998
895,2023-08-17,485819.86,0.0,0.0,0.0,1028745.2189999997,1514565.0789999997
896,2023-08-18,483013.47,0.0,74379.561,74379.561,1103124.7799999998,1586138.2499999998
897,2023-08-21,546681.59,128607.644,0.0,-128607.644,974517.1359999997,1521198.7259999998
898,2023-08-22,559685.0,0.0,0.0,0.0,974517.1359999997,1534202.1359999997
899,2023-08-23,559233.16,0.0,0.0,0.0,974517.1359999997,1533750.2959999996
900,2023-08-24,569012.26,0.0,0.0,0.0,974517.1359999997,1543529.3959999997
901,2023-08-25,562882.9,0.0,52301.456,52301.456,1026818.5919999997,1589701.4919999996
902,2023-08-28,512424.62,0.0,0.0,0.0,1026818.5919999997,1539243.2119999998
903,2023-08-29,520536.22,0.0,0.0,0.0,1026818.5919999997,1547354.8119999997
904,2023-08-30,521997.85,0.0,0.0,0.0,1026818.5919999997,1548816.4419999998
905,2023-08-31,519122.86,0.0,0.0,0.0,1026818.5919999997,1545941.4519999996
906,2023-09-01,517356.98,0.0,0.0,0.0,1026818.5919999997,1544175.5719999997
907,2023-09-04,517459.99,0.0,0.0,0.0,1026818.5919999997,1544278.5819999997
908,2023-09-05,516329.91,0.0,0.0,0.0,1026818.5919999997,1543148.5019999996
909,2023-09-06,516593.59,0.0,0.0,0.0,1026818.5919999997,1543412.1819999998
910,2023-09-07,588780.05,68419.034,95281.361,26862.327000000005,1053680.9189999998,1642460.9689999998
911,2023-09-08,507768.44,0.0,0.0,0.0,1053680.9189999998,1561449.3589999997
912,2023-09-11,523087.34,0.0,91865.177,91865.177,1145546.0959999997,1668633.4359999998
913,2023-09-12,412436.18,0.0,0.0,0.0,1145546.0959999997,1557982.2759999996
914,2023-09-13,754653.88,333378.669,0.0,-333378.669,812167.4269999997,1566821.3069999996
915,2023-09-14,759677.95,0.0,0.0,0.0,812167.4269999997,1571845.3769999996
916,2023-09-15,769015.55,0.0,0.0,0.0,812167.4269999997,1581182.9769999997
917,2023-09-18,779092.13,0.0,0.0,0.0,812167.4269999997,1591259.5569999996
918,2023-09-20,768290.6,0.0,153867.435,153867.435,966034.8619999997,1734325.4619999998
919,2023-09-21,617269.02,0.0,0.0,0.0,966034.8619999997,1583303.8819999998
920,2023-09-22,619958.68,0.0,0.0,0.0,966034.8619999997,1585993.542
921,2023-09-25,621505.56,0.0,0.0,0.0,966034.8619999997,1587540.4219999998
922,2023-09-26,620806.14,0.0,0.0,0.0,966034.8619999997,1586841.0019999999
923,2023-09-27,624446.66,0.0,0.0,0.0,966034.8619999997,1590481.5219999999
924,2023-09-28,621215.28,0.0,0.0,0.0,966034.8619999997,1587250.1419999998
925,2023-09-29,620547.57,0.0,0.0,0.0,966034.8619999997,1586582.4319999996
926,2023-10-03,622310.49,0.0,0.0,0.0,966034.8619999997,1588345.3519999997
927,2023-10-04,616914.23,0.0,107670.193,107670.193,1073705.0549999997,1690619.2849999997
928,2023-10-05,519477.79,0.0,0.0,0.0,1073705.0549999997,1593182.8449999997
929,2023-10-06,523235.06,0.0,0.0,0.0,1073705.0549999997,1596940.1149999998
930,2023-10-09,515506.43,0.0,74426.611,74426.611,1148131.6659999997,1663638.0959999997
931,2023-10-10,621181.51,169245.104,0.0,-169245.104,978886.5619999997,1600068.0719999997
932,2023-10-11,619413.78,0.0,0.0,0.0,978886.5619999997,1598300.3419999997
933,2023-10-12,621126.58,0.0,0.0,0.0,978886.5619999997,1600013.1419999995
934,2023-10-13,620548.14,0.0,0.0,0.0,978886.5619999997,1599434.7019999996
935,2023-10-16,615288.83,0.0,0.0,0.0,978886.5619999997,1594175.3919999995
936,2023-10-17,616746.13,0.0,0.0,0.0,978886.5619999997,1595632.6919999998
937,2023-10-18,610526.55,0.0,0.0,0.0,978886.5619999997,1589413.1119999997
938,2023-10-19,607597.81,0.0,0.0,0.0,978886.5619999997,1586484.3719999997
939,2023-10-20,736480.78,133449.668,0.0,-133449.668,845436.8939999996,1581917.6739999996
940,2023-10-23,866892.45,167645.94,0.0,-167645.94,677790.9539999997,1544683.4039999996
941,2023-10-25,1120818.49,270687.297,0.0,-270687.297,407103.65699999966,1527922.1469999996
942,2023-10-26,1285141.58,162804.015,0.0,-162804.015,244299.64199999964,1529441.2219999996
943,2023-10-27,1315378.64,0.0,81226.879,81226.879,325526.5209999996,1640905.1609999994
944,2023-10-30,1227753.12,0.0,0.0,0.0,325526.5209999996,1553279.6409999998
945,2023-10-31,1223594.37,0.0,0.0,0.0,325526.5209999996,1549120.8909999998
946,2023-11-01,1213339.75,0.0,0.0,0.0,325526.5209999996,1538866.2709999997
947,2023-11-02,1235973.54,0.0,0.0,0.0,325526.5209999996,1561500.0609999998
948,2023-11-03,1279993.84,27986.041,0.0,-27986.041,297540.47999999963,1577534.3199999998
949,2023-11-06,1291602.76,0.0,0.0,0.0,297540.47999999963,1589143.2399999998
950,2023-11-07,1292946.98,0.0,0.0,0.0,297540.47999999963,1590487.4599999995
951,2023-11-08,1301539.22,0.0,0.0,0.0,297540.47999999963,1599079.6999999997
952,2023-11-09,1291513.52,0.0,0.0,0.0,297540.47999999963,1589053.9999999995
953,2023-11-10,1307024.42,0.0,61113.138,61113.138,358653.61799999967,1665678.0379999997
954,2023-11-13,1259526.52,0.0,0.0,0.0,358653.61799999967,1618180.1379999998
955,2023-11-15,1267596.47,0.0,0.0,0.0,358653.61799999967,1626250.0879999995
956,2023-11-16,1269670.13,0.0,0.0,0.0,358653.61799999967,1628323.7479999997
957,2023-11-17,1278643.31,0.0,0.0,0.0,358653.61799999967,1637296.9279999998
958,2023-11-20,1271657.52,0.0,86458.83,86458.83,445112.4479999996,1716769.9679999996
959,2023-11-21,1193808.62,0.0,71780.042,71780.042,516892.48999999964,1710701.1099999999
960,2023-11-22,1122290.19,0.0,58702.366,58702.366,575594.8559999997,1697885.0459999996
961,2023-11-23,1069363.22,0.0,70682.86,70682.86,646277.7159999995,1715640.9359999995
962,2023-11-24,1010097.07,0.0,0.0,0.0,646277.7159999995,1656374.7859999994
963,2023-11-28,1035501.46,0.0,0.0,0.0,646277.7159999995,1681779.1759999995
964,2023-11-29,1034618.34,0.0,113343.972,113343.972,759621.6879999996,1794240.0279999995
965,2023-11-30,927603.17,0.0,0.0,0.0,759621.6879999996,1687224.8579999995
966,2023-12-01,922017.64,0.0,0.0,0.0,759621.6879999996,1681639.3279999997
967,2023-12-04,947481.39,0.0,0.0,0.0,759621.6879999996,1707103.0779999997
968,2023-12-05,973143.9,0.0,268907.344,268907.344,1028529.0319999997,2001672.9319999996
969,2023-12-06,685862.21,0.0,59421.439,59421.439,1087950.4709999997,1773812.6809999996
970,2023-12-07,831845.84,214735.603,0.0,-214735.603,873214.8679999996,1705060.7079999996
971,2023-12-08,841469.26,0.0,102310.409,102310.409,975525.2769999995,1816994.5369999995
972,2023-12-11,760473.46,0.0,271886.797,271886.797,1247412.0739999996,2007885.5339999995
973,2023-12-12,482796.64,0.0,0.0,0.0,1247412.0739999996,1730208.7139999997
974,2023-12-13,495606.51,0.0,0.0,0.0,1247412.0739999996,1743018.5839999996
975,2023-12-14,493247.43,0.0,0.0,0.0,1247412.0739999996,1740659.5039999995
976,2023-12-15,583283.8,79931.62,0.0,-79931.62,1167480.4539999997,1750764.2539999997
977,2023-12-18,597314.64,0.0,0.0,0.0,1167480.4539999997,1764795.0939999996
978,2023-12-19,605615.51,0.0,124862.763,124862.763,1292343.2169999997,1897958.7269999997
979,2023-12-20,454669.89,0.0,0.0,0.0,1292343.2169999997,1747013.1069999998
980,2023-12-21,577839.85,104126.974,0.0,-104126.974,1188216.2429999996,1766056.0929999994
981,2023-12-22,623163.88,36549.915,0.0,-36549.915,1151666.3279999995,1774830.2079999996
982,2023-12-26,633860.59,0.0,0.0,0.0,1151666.3279999995,1785526.9179999996
983,2023-12-27,627976.46,0.0,0.0,0.0,1151666.3279999995,1779642.7879999995
984,2023-12-28,623056.14,0.0,35467.684,35467.684,1187134.0119999996,1810190.1519999998
985,2023-12-29,588649.21,0.0,0.0,0.0,1187134.0119999996,1775783.2219999996
986,2024-01-01,591012.29,0.0,0.0,0.0,1187134.0119999996,1778146.3019999997
