,symbol,date,price_adj,order_type,quantity,commision_cost,total_cost,balance
4466,LXCHEM,2024-08-14,271.8279,Sell,5,2.03870925,1357.10079075,153830.88966578562
4467,EQUITASBNK,2024-08-14,75.27465,Sell,87,2.1076902,6546.786859799999,160377.67652558562
4468,FEDFINA,2024-08-14,118.46834999999999,Buy,36,2.1324303000000002,4266.9930303,156110.68349528563
4469,MUKKA,2024-08-14,45.90586,Buy,87,1.99690491,3995.80672491,152114.87677037562
4470,RTNINDIA,2024-08-14,82.36755000000001,Sell,156,1.9768212000000003,12847.360978800001,164962.2377491756
4471,ASMS,2024-08-14,15.75423,Sell,850,1.929893175,13389.165606825,178351.4033560006
4472,EXXARO,2024-08-14,8.211780000000001,Sell,129,1.8476505000000003,1057.4719695000001,179408.87532550062
4473,GPIL,2024-08-14,203.32312,Buy,16,1.62658496,3254.7965049599998,176154.07882054063
4474,KAMOPAINTS,2024-08-14,35.66563,Buy,87,1.5514549050000002,3104.461264905,173049.61755563563
4475,TRU,2024-08-14,45.33528999999999,Buy,56,1.26938812,2540.0456281199995,170509.57192751564
4476,SARDAEN,2024-08-16,327.72195,Sell,6,2.29405365,1964.03764635,172473.60957386566
4477,LTF,2024-08-16,159.84,Sell,71,2.3176799999999997,11346.32232,183819.93189386567
4478,PEL,2024-08-16,885.8849999999999,Buy,5,2.2147124999999996,4431.639712499999,179388.29218136566
4479,UNIONBANK,2024-08-16,117.62226,Sell,11,2.17601181,1291.6688481899998,180679.96102955565
4480,TIMETECHNO,2024-08-16,377.79183,Sell,4,2.077855065,1509.089464935,182189.05049449066
4481,EPL,2024-08-16,247.3524,Sell,7,2.1024954,1729.3643046,183918.41479909065
4482,RBLBANK,2024-08-16,209.2905,Sell,2,2.0929050000000005,416.48809500000004,184334.90289409066
4483,REDTAPE,2024-08-16,160.45938,Sell,84,2.0057422500000004,13476.582177750002,197811.48507184067
4484,JMFINANCIL,2024-08-16,91.58148999999999,Buy,45,2.0605835249999997,4123.227633524999,193688.25743831566
4485,HINDZINC,2024-08-16,510.56892,Sell,17,1.78699122,8677.88464878,202366.14208709565
4486,ASTRAL,2024-08-16,1878.2463699999996,Buy,2,1.8782463699999996,3758.370986369999,198607.77110072566
4487,SARLAPOLY,2024-08-16,93.9939,Buy,42,1.9738719,3949.7176719,194658.05342882566
4488,SHK,2024-08-16,216.2835,Sell,52,1.9465515,11244.795448500001,205902.84887732565
4489,THOMASCOOK,2024-08-16,196.803,Sell,46,1.8696285000000001,9051.0683715,214953.91724882566
4490,SUNDARAM,2024-08-16,3.0029999999999997,Buy,1083,1.6261245,3253.8751245,211700.04212432567
4491,VIPULLTD,2024-08-16,30.459509999999998,Sell,198,1.416367215,6029.566612785,217729.60873711068
4492,AKSHAR,2024-08-16,1.31868,Sell,2139,1.18747134,2819.46904866,220549.07778577067
4493,HAVELLS,2024-08-19,1879.32879,Sell,1,6.5776507650000005,1872.751139235,222421.82892500568
4494,MANKIND,2024-08-19,2306.691,Sell,6,5.766727499999999,13834.379272499998,236256.20819750568
4495,SBFC,2024-08-19,84.915,Sell,189,6.3261675,16042.608832500002,252298.81703000568
4496,UNOMINDA,2024-08-19,1162.94589,Sell,2,5.81472945,2320.07705055,254618.89408055568
4497,USHAMART,2024-08-19,326.673,Sell,5,6.0434505,1627.3215495,256246.21563005567
